matchup,page,date,content_type,collection,record_id
Langley v Bollington,57,18950824,match information,Tony Webb minor counties collection,1,
Phoenix v Cornbrook,57,18950824,match information,Tony Webb minor counties collection,1,
Reddish St Joseph's v Hyde St Thomas',57,18950824,match information,Tony Webb minor counties collection,1,
Macclesfield 2nd XI v St George's,57,18950824,match information,Tony Webb minor counties collection,1,
Chorlton A Team v Macclesfield Conservative Club,57,18950824,match information,Tony Webb minor counties collection,1,
Bollington v Fairfield,57,18950824,match information,Tony Webb minor counties collection,1,
Didsbury v Poynton,57,18950824,match information,Tony Webb minor counties collection,1,
Seymour Mead's v Stockport Post Office,57,18950821,match information,Tony Webb minor counties collection,1,
Didsbury 2nd XI v Poynton 2nd XI,57,18950824,match information,Tony Webb minor counties collection,1,
Reddish Vale v Mr R P Hammond's Team,57,18950824,match information,Tony Webb minor counties collection,1,
Lads' Club 2nd XI v St Thomas' Athletic,57,18950824,match information,Tony Webb minor counties collection,1,
Cheetham 2nd XI v Levenshulme 2nd XI,57,18950824,match information,Tony Webb minor counties collection,1,
Stockport Congregational 2nd XI v Longsight 3rd XI,57,18950824,match information,Tony Webb minor counties collection,1,
Llandudno v Flint,58,18950914,match information,Tony Webb minor counties collection,1,
Liverpool player statistics,58,18950901,statistics,Tony Webb minor counties collection,1,
Northern player statistics,58,18950901,statistics,Tony Webb minor counties collection,1,
Birkenhead Victoria player statistics,58,18950901,statistics,Tony Webb minor counties collection,1,
Prescot player statistics,58,18950901,statistics,Tony Webb minor counties collection,1,
Formby player statistics,58,18950901,statistics,Tony Webb minor counties collection,1,
Liverpool v Oxton,59,18950907,match information,Tony Webb minor counties collection,2,
Rock Ferry v Cheadle Hulme,59,18950907,match information,Tony Webb minor counties collection,2,
Formby v New Brighton,59,18950907,match information,Tony Webb minor counties collection,2,
Wallasey v Oxton 2nd XI,59,18950907,match information,Tony Webb minor counties collection,2,
Bootle v Birkenhead Victoria,59,18950907,match information,Tony Webb minor counties collection,2,
Bromborough v Spital,59,18950907,match information,Tony Webb minor counties collection,1,
Tranmere Wesley v West Derby 2nd XI,59,18950907,match information,Tony Webb minor counties collection,1,
YMCA v Ravenscroft,59,18950907,match information,Tony Webb minor counties collection,1,
Birkenhead Park player statistics,59,18950901,statistics,Tony Webb minor counties collection,1,
Birkenhead Park A player statistics,59,18950901,statistics,Tony Webb minor counties collection,1,
Oxton player statistics,59,18950901,statistics,Tony Webb minor counties collection,1,
Rock Ferry player statistics,59,18950901,statistics,Tony Webb minor counties collection,1,
St. Aidan's player statistics,59,18950901,statistics,Tony Webb minor counties collection,1,
Birkenhead Victoria First XI player statistics,59,18950901,statistics,Tony Webb minor counties collection,1,
Birkenhead Park First XI player statistics,60,18950901,statistics,Tony Webb minor counties collection,1,
"Birkenhead Park ""A"" Team player statistics",60,18950901,statistics,Tony Webb minor counties collection,1,
Rock Ferry First XI player statistics,60,18950901,statistics,Tony Webb minor counties collection,1,
Rock Ferry Second XI player statistics,60,18950901,statistics,Tony Webb minor counties collection,1,
Oxton First XI player statistics,60,18950901,statistics,Tony Webb minor counties collection,1,
Oxton Second XI player statistics,60,18950901,statistics,Tony Webb minor counties collection,1,
Birkenhead Victoria First XI player statistics,60,18950901,statistics,Tony Webb minor counties collection,1,
Wallasey v Oxton 2nd XI,61,18950907,match information,Tony Webb minor counties collection,1,
Rock Ferry 2nd XI v Cheadle Hulme 2nd XI,61,18950907,match information,Tony Webb minor counties collection,1,
Spital v Bromborough Pool,61,18950907,match information,Tony Webb minor counties collection,1,
YMCA v Ravenscroft,61,18950907,match information,Tony Webb minor counties collection,1,
Tranmere Wesley v West Derby 2nd XI,61,18950907,match information,Tony Webb minor counties collection,1,
Gardeners v Coachmen,61,18950911,match information,Tony Webb minor counties collection,1,
Birkenhead St John's v Cedar,61,18950907,match information,Tony Webb minor counties collection,1,
Bebington Bible Class CC v Magazines,61,18950907,match information,Tony Webb minor counties collection,1,
